Time,TP PRELAZ 056_A+_001,TP PRELAZ 056_A-_101,TP CELJSKA CESTA 2694_A+_201,TP CELJSKA CESTA 2694_A-_301,TP BENCINSKI SERVIS 3 2781_A+_401,TP BENCINSKI SERVIS 3 2781_A-_501
,kW,kW,kW,kW,kW,kW
03/01/2023 13:15,0,0,69.36,0,11.928,0
03/01/2023 13:30,0,0,77.12,0,10.596,0
03/01/2023 13:45,0,0,77.84,0,16.32,0
03/01/2023 14:00,0,0,67.68,0,12.816,0
03/01/2023 14:15,0,0,69.44,0,14.076,0
03/01/2023 14:30,0,0,65.76,0,10.86,0
03/01/2023 14:45,0,0,75.28,0,10.476,0
03/01/2023 15:00,0,0,67.92,0,12.18,0
03/01/2023 15:15,0,0,65.52,0,12.78,0
03/01/2023 15:30,0,0,66.8,0,12.924,0
03/01/2023 15:45,0,0,74.24,0,14.208,0
03/01/2023 16:00,0,0,76.24,0,14.472,0
03/01/2023 16:15,0,0,75.84,0,14.208,0
03/01/2023 16:30,0,0,80.32,0,13.476,0
03/01/2023 16:45,0,0,75.04,0,13.872,0
03/01/2023 17:00,0,0,76.64,0,14.196,0
03/01/2023 17:15,0,0,74.72,0,18.192,0
03/01/2023 17:30,0,0,76.48,0,19.056,0
03/01/2023 17:45,0,0,76.88,0,19.704,0
03/01/2023 18:00,0,0,70.8,0,15.684,0
03/01/2023 18:15,0,0,69.52,0,15.372,0
03/01/2023 18:30,0,0,67.92,0,14.724,0
03/01/2023 18:45,0,0,66.4,0,13.764,0
03/01/2023 19:00,0,0,65.2,0,14.016,0
03/01/2023 19:15,0,0,60.88,0,14.664,0
03/01/2023 19:30,0,0,66.56,0,15.708,0
03/01/2023 19:45,0,0,69.2,0,14.556,0
03/01/2023 20:00,0,0,68.88,0,14.556,0
03/01/2023 20:15,0,0,65.36,0,11.244,0
03/01/2023 20:30,0,0,60.16,0,12.288,0
03/01/2023 20:45,0,0,60.72,0,11.952,0
03/01/2023 21:00,0,0,61.28,0,8.472,0
03/01/2023 21:15,0,0,66.16,0,9.168,0
03/01/2023 21:30,0,0,65.52,0,9,0
03/01/2023 21:45,0,0,61.76,0,9.72,0
03/01/2023 22:00,0,0,64.56,0,9.084,0
03/01/2023 22:15,0,0,60.48,0,8.976,0
03/01/2023 22:30,0,0,58.72,0,11.352,0
03/01/2023 22:45,0,0,57.6,0,11.172,0
03/01/2023 23:00,0,0,55.92,0,7.62,0
03/01/2023 23:15,0,0,55.36,0,7.992,0
03/01/2023 23:30,0,0,51.68,0,7.836,0
03/01/2023 23:45,0,0,50.96,0,8.076,0
04/01/2023 00:00,0,0,50.4,0,8.964,0
04/01/2023 00:15,0,0,47.2,0,8.94,0
04/01/2023 00:30,0,0,44.88,0,9.096,0
04/01/2023 00:45,0,0,44.96,0,8.628,0
04/01/2023 01:00,0,0,44.88,0,7.656,0
04/01/2023 01:15,0,0,45.2,0,8.088,0
04/01/2023 01:30,0,0,44.96,0,7.836,0
04/01/2023 01:45,0,0,48,0,8.328,0
04/01/2023 02:00,0,0,46.88,0,7.884,0
04/01/2023 02:15,0,0,45.28,0,7.02,0
04/01/2023 02:30,0,0,44,0,7.248,0
04/01/2023 02:45,0,0,43.76,0,8.22,0
04/01/2023 03:00,0,0,42.64,0,7.104,0
04/01/2023 03:15,0,0,42.64,0,7.38,0
04/01/2023 03:30,0,0,42.4,0,7.74,0
04/01/2023 03:45,0,0,47.68,0,8.664,0
04/01/2023 04:00,0,0,48.08,0,8.7,0
04/01/2023 04:15,0,0,48.72,0,9.024,0
04/01/2023 04:30,0,0,47.04,0,9.024,0
04/01/2023 04:45,0,0,44.88,0,8.052,0
04/01/2023 05:00,0,0,47.84,0,7.836,0
04/01/2023 05:15,0,0,45.28,0,8.004,0
