placement,scenario,SerialNo,Timestamp,roll,pitch,yaw,XCalibAccel,YCalibAccel,ZCalibAccel,XCalibGyro,YCalibGyro,ZCalibGyro,XCalibMag,YCalibMag,ZCalibMag,XLinAccel,YLinAccel,ZLinAccel,quat0,quat1,quat2,quat3,quat_check,magnitude,timestamp_2,time,label
a,s01,35321,353210,169.66371336548525,11.344674989029148,97.02678477050752,0.192749,0.9823,-0.07019,-0.817299,0.139236,1.309395,-29.067871000000004,-33.306746999999994,6.045761,-0.003952000000000001,0.005539,0.014771,0.663175,0.736528,-0.00045,0.133134,1.0,1.003489961634395,1330,1548162598557,001_Stand
a,s01,35322,353220,169.65653363343745,11.354556090288927,97.01990309628076,0.19519,0.972046,-0.084351,-0.908852,0.810623,0.973701,-28.017883,-31.656738,6.945755,-0.001678,-0.0047,0.000427,0.663221,0.736468,-0.000474,0.13323800000000002,1.0,0.9950314836310457,1340,1548162598566,001_Stand
a,s01,35323,353230,169.6545744385157,11.370801368444083,97.01607246417132,0.207397,0.9823,-0.069702,-0.390053,0.261307,1.461983,-28.017883,-31.656738,6.945755,0.010254,0.0056,0.014938,0.663248,0.7364229999999999,-0.000566,0.133352,1.0,1.0063722842035148,1350,1548162598576,001_Stand
a,s01,35324,353240,169.6498157972345,11.385111788821428,97.01197112523805,0.196167,0.988647,-0.086792,-0.756264,0.627518,1.523018,-29.21788,-31.656738,6.495758,-0.001221,0.011978,-0.002289,0.663277,0.736376,-0.000629,0.13347,1.0,1.011650746928998,1360,1548162598585,001_Stand
a,s01,35325,353250,169.64796446257472,11.39799077463008,97.00653554050619,0.186401,0.985718,-0.078979,-0.695229,0.291824,1.614571,-29.367874,-32.556746999999994,7.395767,-0.011215,0.009079,0.005386,0.663313,0.736326,-0.0007030000000000001,0.133562,1.0,1.006291702622058,1370,1548162598595,001_Stand
a,s01,35326,353260,169.6395298881805,11.409411097232065,97.00452773364151,0.19519,0.980835,-0.089233,-0.542641,0.993729,1.187325,-29.367874,-32.556746999999994,7.395767,-0.002625,0.004227000000000001,-0.004974,0.663328,0.736291,-0.000723,0.133683,1.0,1.0040413146947689,1380,1548162598605,001_Stand
a,s01,35327,353270,169.635829326736,11.422485612555704,97.00307820017431,0.192749,0.982788,-0.091675,-0.573158,0.5359649999999999,1.461983,-31.017883,-33.306746999999994,7.095764,-0.00528,0.006226,-0.007506999999999998,0.663339,0.736262,-0.000782,0.133787,1.0,1.0056981334227482,1390,1548162598614,001_Stand
a,s01,35328,353280,169.63684707071178,11.443838387906162,97.00260818197245,0.190796,0.986694,-0.094116,-0.695229,0.139236,2.438545,-29.067871000000004,-33.006744,4.845764,-0.007599,0.010193,-0.010025,0.663345,0.736233,-0.00092,0.133916,1.0,1.0093691023149065,1400,1548162598624,001_Stand
a,s01,35329,353290,169.63119022111852,11.460981175245712,97.00017513138417,0.190796,0.992553,-0.085327,-0.603676,0.749588,1.980782,-29.067871000000004,-33.006744,4.845764,-0.007904000000000001,0.016097999999999998,-0.001358,0.663363,0.736191,-0.000993,0.13405699999999998,1.0,1.0143201015231829,1410,1548162598633,001_Stand
a,s01,35330,353300,169.62781769909418,11.477217580092429,96.99490157834663,0.190796,0.981811,-0.096069,-1.152992,0.566483,1.858711,-29.21788,-31.656738,6.945755,-0.008179,0.0054020000000000006,-0.012268,0.663399,0.736136,-0.001078,0.134179,1.0,1.0047811732402236,1420,1548162598643,001_Stand
