,0
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0002123418543033044
"rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",0.00021107629057576425
"globalno sev. [W/m2]__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0002105830427061962
"min. rel. vla. [%]__agg_autocorrelation__f_agg_""var""__maxlag_40",0.00021030341691845016
min. rel. vla. [%]__benford_correlation,0.00020909122412923138
"T [°C]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",0.00020837934118825535
min. rel. vla. [%]__approximate_entropy__m_2__r_0.3,0.00020811460671076382
"T [°C]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.00020807267339525786
min. T [°C]__abs_energy,0.00020801265326557105
"T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.00020767266384500414
"max. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0002070349459885805
"povp. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.00020693984790788204
"week_number__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",0.00020646189608681045
max. rel. vla. [%]__ratio_beyond_r_sigma__r_1.5,0.00020621652384317853
"povp. T [°C]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.00020590958393493466
min. rel. vla. [%]__autocorrelation__lag_8,0.00020359913745080272
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",0.00020353303554589958
min. rel. vla. [%]__fourier_entropy__bins_100,0.00020311843954748943
"energija uvb [mW/m2]__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.00020191058426507615
rel. vla. [%]__ar_coefficient__coeff_4__k_10,0.00020032037398490986
"povp. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.00019909812826512293
min. rel. vla. [%]__approximate_entropy__m_2__r_0.5,0.0001984497170678499
"rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.00019746677231804836
max. rel. vla. [%]__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.00019745708743296644
"globalno sev. [W/m2]__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.0001958313169139743
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.00019531546341524514
"min. T [°C]__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.0001947063222130797
"energija uvb [mW/m2]__fft_coefficient__attr_""real""__coeff_1",0.00019442106600378492
"globalno sev. [W/m2]__fft_coefficient__attr_""imag""__coeff_9",0.0001937040709892017
T [°C]__mean_second_derivative_central,0.00019357589000277214
"max. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0001925030207607192
"min. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.00019243137955453647
"max. T [°C]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.000192102891823421
max. T [°C]__partial_autocorrelation__lag_5,0.00019176286056311214
"min. rel. vla. [%]__fft_coefficient__attr_""angle""__coeff_2",0.00019123668267440887
"energija uvb [mW/m2]__fft_coefficient__attr_""angle""__coeff_3",0.00019120232432122503
energija uvb [mW/m2]__lempel_ziv_complexity__bins_2,0.00019106790918564068
min. rel. vla. [%]__sum_of_reoccurring_data_points,0.00019077880399159382
